EncryptedText,Shift
"jODbjQyugJZTY,eJYweLtpbEUOT,21",25
"HNqkj znXyy,QWzts iwGhh,9",8
"ZSjQMOidZz,KDuBXZtoKk,11",12
"WDEeVDzK,IPQqHPlW,12",25
"IsAPWazUjGBfi,VfNCJnmHwTOsv,13",7
"NolePSnUzcIpBDKh,QrohSVqXcfLsEGNk,3",2
"XtxMFGXejrlXeHiW,GcgVOPGnsauGnQr",12
"QUwsDjWqvuKZnB,VZbxIoBvazPEsG,5",9
"eMJMt,vDADk,17",16
"IivyaDzrtrhRvrlMaAXN,BbortWskmkaKokeFtTQG,19",6
"QdThjrRJkIOmlWEy,DqGuweEWxVBzyJRl,13",1
"qSWxbZaOQmUt,kMQrvTuIKgOn,20",12
"kcJFHAJSm,cuBXZSBKe,18",18
"NS AgspGkqFFSDviBH,PU CiurIms",24
"hPHFgpSc,bJBZajMw,20",24
"xGjuUQLfsE,",2
"VcutXGbzfq,YfxwAJecit,3",1
"aMddqU IrMo,kWnnaE S",4
"hKbL QQmk NYgDLX ,zCtD IIec FQyVDP ,18",18
ZuwuZHxllZjsw,8
"NszjVedBQmsDSvb,YdkuGpoMBxdODgm,11",11
"KWKqoHUdsSOfVHYJy,RDRxvOBkzZVmCOFQf,7",14
IHurDImVNPo,14
"TXsR rA,CGbA a",20
"oeVltbrlbJu,gwNdltjdtBm",2
"HkNvHF,IlOwIG,1",3
"gxOYhd,  evMWfb,24",11
"XpkfVw,DvqlBc,6",20
"UZnZqkNQ,QV",4
"DHza DGdtrN,HLde HKhxvR,4",18
"foQsRIoX,tcEgFWc",1
"lhCSLSpG,tpKATAx",3
"jnrdDm,eimyYh,21",11
"WtyyQyAUpaoLHWEg,DaffXfHBwhvSODLn,7",24
"aQHfXnU,kARpHxE,10",16
"SpLZcFFLLjgD,X",16
CMCShHKraVfwzx,11
"bCSedVzyZPvjTBXYd,hIYkjBfeFVbpZHDEj,6",9
cCEb pkLFhVY,22
"ABAGHPzqx,STSYZHrip,18",23
"wKgDP,yMiFR,2",25
"vFUuu,uETtt,25",10
"krflLpDxZtsvGhaRBK,mthnN",17
"yNHReR,jYSCpC,11",16
"ZqYlcuA,QhPctlR,17",23
"nGINGXvIcSS,bU",12
"sJYAFbm u,m",14
"jF VljoNJVHYENsqiM j,sO EusxWSEQHNWbzrV s,9",19
"FghNpxaPQkVIkdFtBm,NopVxfiXYsDQslNbJu,8",20
"xiQPqfQJfjTNu, doWVwlWPlpZTa,6",25
MsfLFCnySXtxlWF,18
"kxWYmDOuKHUk,tgFHvMXdTQDt,9",18
"zZpmYZgMVs,fFvsEFmSBy,6",2
KTVH VjdwZgB,25
"gwRESlJhtXXKE,",11
"MOogc ERZw,Q",21
"BBKtYhWsUvGmhXeGb,KKTcH",7
"WIOQRa Kasowh,QCIKLu Eumi",20
"BbYcLnVXnHStn,QqNrAcKMcWHic,15",21
"EutNPy,YonHJs,20",16
"WWsZMPGkUwTvZOVpOR,LLhOBEVzJlIkODKeD",23
"OIukQCVteCZ,JDpfLXQozXU,21",24
"NQLJmdbiCDu,VYTR",3
"GBFcGjytdnnkIHfcHzY,RMQnRujeoy",22
"juUXOltCDtHrR NPv,xiILCzhQRhVfF BDj,14",7
LkHlJzYbWKQxI,19
LZhMfCwPHUPHGX,12
jCOVpR uQMPs,13
"ulDATMJ,hyQNGZW,13",10
"cYfTIodek,qMtHWcrsy,",12
"fnrism,kswnxr,5",20
"OVGRid,CJUFwr,14",11
"mIVnoRZXIPOVWwq,fBOghKSQBIHOPpj,19",6
"sJnDahvZmaGlBayO,lCgWtaoSftZeUtrH,19",20
iRqSOvOCTTZ,21
"lFdvOkDuLQEWy,sMkcVrKbSXLDf,7",3
sVDHHZ extm,24
"lxgTCySxSqv,vhqDMiChC",2
"aJibnKALNWDaGY,wFexjGWHJSZwCU,2",22
"CEgkViTGGhxl,PRtxIvGTTu",9
"tGPCULlNlmkf,vIREWN",19
"cbrcrGmQGhemxmSvdUKe,kjzkzOuYOpm",22
"LlRoJDMc,EeKhCWFv,19",24
"cBHXfByzq SMtuCF,pOUKsOlmd FZ",4
mWIVLqMyDzbFLWqgmeE,2
"VkoVMI CkMRP l,IxbIZV P",4
IWrdXjJONfG ,2
"GfPOHhZDyKphRqPqvjA,WvFEXxPToAfxHgFglzQ,16",13
"nFEHDkBjfR,mEDGCjAieQ,2",18
NbXZUcOGiU,25
"ZDIWYKZnmmxIlQ,GKPDFRGuttePsX,7",9
"UAkHQXheItjJQbYKPqw,JPzW",24
"erFhYgFMHSM,dqEgX",10
"lrZucUzloH aQhu,jpXsaSxjmF yO",2
"xMDMULOQzXlmmPcmvu,gVM",13
"CSlIdVqJrcenPgyM,XNgDy",4
"rjudsYQ,skvetZR,1",15
"tgsmUFTNxe,ivhbJUICmt,15",14
"bTcMyhC,sKtDpyT,1",5
"RMPkGqBLRpXR,IDGbXhSCIgO",8
"Pkiyqd,Upndvi,5",24
"cPyPBTCbWnWhU,nAjAMENmHyHsF,11",9
"uOEFPe,vPFGQf,1",12
"HrZjruaMSFNt ,UeMwehnZFSAg ,13",1
"EcttCXtZNcameJhpG,SqhhQLhNBqoasXvdU,14",6
"RHBuFrYyjmo,UKExIuBbm",13
"SLgzZDJAGIPmrvfnWLkW,VOjcCG",18
"MGYk tf,CWOa jv,16",14
gqndNZbFqHHqfj,12
"HQEAMe ,RAOKWo ,10",1
"szkkcFMUfklvWFUm o,nuff",24
"UqqaDDeCOHzAmCDMend,XttdGGhFRKc",25
"eXw sSxcuAzsuhNqR,cVu ",18
"bLQCybdARA,yINZvyaXOX,23",15
"MH mOaKUJZms,ID iK",19
"RpcwWnA,SqdxXoB,1",20
GzMVLTemHUUf,7
"bxPxLO,ieWeSV,7",22
"nwXCcNZmIEejTh,bkLQqBNaWSsxHv,14",20
"BkxJ k,RanZ a,16",12
"hdBMxyw WaOnAuYlKb,plJUfge EiWvIcG",18
"hacUgukO,exzRdrhL,23",2
"FbBzJqjKLNIazFfO,EaAyIpiJKMHzyEeN,25",22
coxqnAgBRLdioCn,12
"ydjZdNe O, jouKoYp Z,11",21
"tUyWi GXHJdnIzrJBUXM,l",4
"CYMOfE,XTHJaZ,21",6
"jILQXVYyZgjDkSDNBOr,vUXCJHKkLsvPwEPZ",6
"OIDSmqPHQGN,QKFUosRJSIP,2",23
"jDNoJhg,tNXyTrq,10",21
"BrlCR,IysJY,7",2
"Il xpGH ROjziQchZuM, Be qiZA KHcsbJ",7
"KMeEmtwUhy,ZBtTbilJwn,15",2
"bA yASAtwWHNjuYYnzln,",2
InDcFCwgjW,21
"DXqdbBoRcvcidqDi,A",18
FXGPijxiQyS,4
"ugBVNfqvKBtiVltwfrof,zlGASkva",22
"MXqAelHCcacNb,BMfPtaWRrprCq,15",10
"MKCoVKK,USKw",15
"VffF Wuq,XhhH Yws,",21
"QTGOxMJZkcdtFdOFnyt,BERZiXUKvnoeQoZQyje,11",21
"uygoYilhueyN,xbjrBlokxhbQ,3",10
"AYnSLLR,DBq",11
"GBhGJfSGoTrWmGFCA,TOuTWsFTbGeJzTSPN,13",16
"MsVKBHgJazMO,",20
"KqjpDbKEM,BhagUsBVD,17",22
"AtHxMo,UnBrGi,20",21
"UvpJeyjtMJJhn,PqkEzteoHEEci,21",1
"qXnMnzqj,z",12
"Bud k,Fyh o,4",18
"uJzwvSNusyRhYGuPx,tIyvuRMtrxQgX",19
"WxgsfPTvBPFMjaKsoY,RsbnaKOqWKAHevFn",20
"zSGmUv,hAOuCd,8",14
"ExXdIDTkumyUSTBhA,Vo",13
"cudYzb,umvQr",24
"yEqLD,nTfAS,15",8
"qNh V,oLf T,24",24
"TDtOniQST,RB",12
"psnyVbCmgZ,fidoLrScwP,16",10
"bBLIW,rRBYM,16",20
uWseeVFBhJpA,5
"fRGEvgJwFExbpr,dPECteHuDCvznp,24",25
"IWNigZuttaLkjZ,ESJecVqppwHgfV,22",14
QlHLKlCISI,4
"KzZJX,EtTDR",12
"TWAMNOxSGVZCUtAK fdo,GJNZABkFTIMPHgNX sqb,13",4
"QJIRbtDTExHeJIQl,OHGPzrBRCvFcHGOj,24",12
"AiMeULIhhM,NvZrHYVuuZ,13",1
"sPmVRmnmlfKLBLv VWop,rOlUQlmlkeJ",8
zSh qkEwSU,20
"DfTIehEqC,YaODzcZlX,21",13
fqMzmxGpBs,25
"PEDCzjULNsuCgklxico,CRQPmwHYAfhPtx",8
"bfPMAszfGKFgM, xbLIWovbCG",13
"GiJZzDmnpzCYQa,HjKAaEnoqaDZRb,1",22
"doxHIwDUEhXKGQQSFCWu,xirBCqXOYbREAKKMZWQo,20",13
"ulUKobtniF,gxGWanfzuR,12",1
"LlxWlQc,TtfEtYk,8",14
"ZseAkekGSNmeF,GzlHrlrNZUtlM,7",11
"lmXbGZ,klWaFY,25",1
ibtsCIICwRR,25
"HSJ sB,OZQ zI,7",18
"gYrMpwXTBVbmLkPh,yQjEhoPLTNte",2
"eJWeifIaolJ, w",6
"IIMDOciwyWUeXMmUm,YYCTEsymoMKuNCcKc,16",18
"NzVSzUIXgbEQNcwvek,ZlHElGUJsnQCZoihqw,",19
"dNAeLGJEm,gQDhOJMHp,3",21
RpM syEpnybmL,7
"OJyMlPXf,VQfTsWEm,7",9
"IBRykGvUrMUbqNada,CVLseApOlGOvkHuxu,20",19
"EKfqDjoyu,TZufSydnj,15",18
"GIXasRzYWeVTwEMmv,VXMphGoNLtKIlTBbk,15",9
"eztShyiwkomgn,wrlKzqaocge",13
"dJBwwxLefy, gMEzzaOhib,3",16
"EEGftRBLGgcxNI dGSTh,MMOnbZJTOokfVQ lOABp,8",19
"aPeAcC,pEtPrR,15",11
"lHuhJMUsTPRShoIDrg k,sObo",3
"oiIHBoZaMIoNViKcEy,jdDCWjUvHDjIQdFxZt,21",23
"pxMlteiCvtzhDigNU,ucRqyjnHayemInlSZ,5",10
"WnAUyRGBPaDmwjqLFm,RiV",7
"RGBug,WLGzl,5",14
"zSPczqlQHrjeeWghwX,iBYl",8
"mmJTnmsmnGqwjVwvN,aaXHbagab",17
"ZblTVDUi,CeoWYGXl,3",1
"clTXYuIvnQ,veMQRnBogJ,19",25
"nPlywczjyHUx,aCyljpmwlUHk,13",8
"ldavgOCoQxFyZBv,zrojuCQcElTmNPj,14",20
"FHDsBVTuhSlEkC,NPLaJDBcpAtMsK,8",9
mURvaulalb,15
VyCgZWCfCwUWZND,25
"MboA  NAcT,B",1
"qYEYqgnZ eyPMbnyX,rZFZrhoA fzQNcozY",15
qlJkktTKv JS,4
"Bm Ft,Pa T",23
SAXUSiGAmJjMiHjB,5
"SZobuPLhA jDQkF,TApcvQMiB",18
"zxDuxj,vtZqtf,22",5
"kskLVWwLNBi,ckcDNOoDFTa,18",20
"clEzMARpIKmsX,xgZuHVMkDFhnS,21",16
"CFFAQYKMVLhT,EHHCSAMOXNjV",24
"HhBvvCDLRVoxQycelvna,QqKeeLMUAExgZhlnue",1
"eJdJN,wBvBF,18",8
"GBNSPHAvFztu, CXJOLDW",1
"OUKAVlnGWQgmcmSpWuJ,WCSIDtvOEYou",8
"wMjGgIi,aQnK",23
"FBxxMNgeYrRvY,GCyyNOhfZsSwZ,1",17
"vCWXfPENIdYKsBUzk,yFZAiSHQLgBNvEXcn,3",14
eBTyTxWOPuascUmsGUi,6
"aWmMgmbb,iEuUoujj,8",19
"PGNeswsenob,YPWnbfbnwxk,9",23
"JDas adSgRYvmA,",23
"qdFtVmFeCXazhtFs,dqSgIzSrPKnmugSf,1",1
"YhgUQyAyTGHpaL,IrqEAiKiDQRz",8
"YBgXGtn,VYdUDqk,23",6
"USVISfufMyzQtcVLoBc,MKNAKxmxEqrIluNDgTu,18",17
"GjVtnpdFlAnvPDIj,PsEcwymOuJweY",24
"rXfAGsWuKiIuyQGECq,iOwRXjNlBzZl",4
"CftFNPmTENsweqBlO,KnbNVXuBMVaemy",13
"LpZbFLN,AeOqUAC,15",3
"qjaERdMYd I,ngxBOaJVa F,23",19
"vqzn ,gbky ,11",15
"lVy y ZEEgqbutlwigF,iS",25
"iAdIxa,eWzEtw,22",16
"BRNqNpdBQIOLnLJYX,DTPsPrfDSKQNpNL",23
"EDzQBzDlsr,CBxOZxBjqp,24",23
"CBIgFtypQv,",8
"HNeYMuFvqUxli,NTkESaLbwAdro,6",19
"EUwhizBDOzfn Arnb,TJl",12
"vWSgOh,pQMaIb,20",22
"WOkrTIISPRo,IAwdFUUEBDa,12",23
"EGVFMUZfQxTPSP,BDSCJRWcNuQMPM,23",8
"aEQHStEYRT,wAMDOpAUNP,",23
"ApxxoPKVk JIFzXovm,KzhhyZUFu ",9
"uVDECzVVbSCY,pQYZXu",10
"WNTxJrt,BSY",21
"AKtnSrLtIzgD,SClfKjDlAryV,18",1
"RghavhS,Etun",12
"xfFSgejOFqslFqtBOqS,rzZMaydIZk",16
"iCJiBPtv,fZGfYMqs,23",16
"xSYsUnnRpbDtONeFdzJP,pKQkM",9
"BqhhnNXehEQ WI,FullrRBilIU AM,4",23
rmcLuktGa ,25
"JxUyjNqx,IwTxiMpw,",14
WASVtOVLaBdNHUZ,23
"GsZ JqmsOWrqnsVM,PbI SzvbXFazwbEV",3
"oFdtjgSzjlhqjr,bSqgwtFmwyu",18
"XoZjWTfRQTCSbHPMKz,JaLv",11
"UIMDWqCKG,DRVMFzLTP,9",22
"yZFKJddtZkGAMQCZdJc,l",5
"jukkLSLSZfASTenEaSFQ,hsiiJQ",25
"KIJlQDetLnFgPu, BZAcHUvkC",23
"zcDpx,orSem,15",17
"mzSmqEwlUlGcKulRJxP,anGaeSkzIz",19
DkcvwqeLWMBsdrK,12
"ZVAFhaocUmaQjQKA,JFKPrkymEwkAtAUK,10",10
"tDiPQHnCeH,bLqXYPvK",8
"OPRZycNNU APrlbikqi,KLNVuyJJQ",21
"OfoBOJDuWaGneQ,KbkXKFZqSwCjaM",6
"yiWWsZYX,hrFFbIHG,9",4
"kHLMZJtkafvu,yVZANXhyotji,14",16
"LzhGJ,XltSV,",5
"raaZGSmFssmu cwy,dmm",24
"JzVJw,HxTHu,24",5
"jSlhgImVWxxsInjN,",1
"IGUgmTnjCBj,VTHtzGawPOw,13",20
"xEIsnv,wDHrmu,25",6
cljtPSrZuoGR,17
"HEShNXDqFgmaxLuH,YV",3
"LGogYaVHXKeYLFvGMow,EZhzRtOAQDxR",20
"OOXvSXHqGR,M",6
"dykXY drmiGcQ b,lgsFG lzuqOkY j,8",19
"iKvSYRR,yAlIOHH,16",2
"DmHLXdmm,NwRVHnww,10",16
"bzNNikadvvVYLdzlKN,sqEEzbrummMPCuqcBE,17",1
"YNpmZPjwtnT,IXzwJZtgdxD,10",20
"eWFqdGWKZrT,tLUfsVLZOgI,15",8
"IXSWcf,HWRVbe,25",10
utLyBysAdO,25
"fnsjvNvtD,zhmdpHpnX,20",11
"FupkGFYCtacw,QfavRQ",16
"fpYZuwhWtwYtiCV,yiRSnpaPmpRmbVO,19",13
lmbgsBQJlb,16
"nWkMM,jSgII,22",11
"vbpQEVmeAZclYbytFSrZ,lrfGULcuQ",9
"ScMyArql AoVmkCp,ZjTfHyxs HvCtrJw,7",1
"bSJvxEnWXr,uLCoqXgPQk,19",14
"LU wBrHtpLkKKOe,KT vAqGsoKjJJNd,25",3
"pmWHuSiqzsd ,nkUFsQgoxqb ,24",22
nhSOmuugjXyy,7
"nkRTUJimPnBMIiIpGTy,zwDFGVuyBzNYUuUbSFk,12",2
"DuZp rPXBkckWYon,RiNd f",21
"QlHsT,GbXiJ,16",5
"z tPDWPY,h bXLEXG,8",16
"ruUCewKolZUpPXnRgAi,ybBJldRvsG",10
"Fsa tUz,Gtb u",12
"nJYSmSsKInpov,kGVPjPpHFk",17
kurHpEQLeBixvEolqjA,3
"wKqBYahasQJc,g",10
wNGbQmmkSwXrtbPtT,10
"lpOkcWzVVrrz,fjIewQtPPllt,20",7
"SHkprQm HdimAYpdWOX,",7
"xVLDqwu,aYOGtzx,",8
cvSoSNCsUKHiwqRgPE,11
"tvcppcLPVGiPrw,pryllyHLRCeLns,22",23
"KxnYImkWXBRphBoQCDeb,PcsDNrpBCGWumGtVHIjg,5",13
"foXoTBU,sbKbGOH,13",14
TPhHKxdlAi,4
"jXkYaGh,qErFhNo,7",19
SVDhQVduvinTohw,7
"VQelnrwoYgHWgvW,LGubdhmeOwXMwlM,16",20
"qaXItVZaSb,oyVGrTXyQz,24",9
"AsnGaXdfFR,SkfYsPvx",6
LvNVgWbTZaMgTxA,19
"krvFi,taeOr,9",12
"OAQARw,MYOYPu,24",21
"AtondSjUSr,DwrqgVmXVu,3",5
"nrkCAGkNHJ,oslDBHlOIK,1",19
"LPJbyPcpzHXq,VZTliZmzjRHa,10",20
"GLzZwsCAtKy,KPdDawGExOc,4",11
"wZyWlkuAZTu,tWvTihrXWQr,2",21
"VVcWaveefCB PK,MMtNr",5
MbLTaFagbAYe,15
"SjprJGsTYS,Ar",4
"EIvnHrYCOsNGXMP G n,CGtlFpWAMqLEVKN E l",19
"iUmGidg,gSkEgbe,24",24
"wBWTNkckvVEPBwDvQ,nSNKEbtbmMVGSnUmH,17",8
"uAGXiqQPug,mSYPaiIHmy,18",14
"fmiFZovUuhT coty,pwsPJyfEerD mydi,10",21
"RfjxqSsuDMcb,GuymfHhjSBrq,15",1
"HUs wgvAKJVYTcepMs,VIg kujOYXJMHqsdAg,14",24
"vBoyOtnzqgGQYU,n",9
"qGvmRGjTpIXIt,vLar",5
"ZjtJoLTpAlC,ScmChEMiTeV,19",22
"ahwFLiKn,mtiRXuWz,12",16
"WVmbes NBObVFJqRPVfM,UTkzcq LZMzTDHoPNTdK",4
"GydsWyhSnCZh,PhmbFhqBwLIq,9",13
"hBUcdaOtrQmjJQ g,lFYgheSxvUqnNU k,4",16
"svOqcnQPSmRghvx,n",20
TMJDFVzXwk,16
"MvxPfLwa,AjlDtZko,14",25
"SrkIEqFMWo,WvoMIuJQAs,4",11
"ynRmQRtdzVMTrIEYiVV,qf",13
ouXVJIMlbu,25
"AvjlqmdqOh,WrfhmizmKd,22",11
"znAJYiDwUJloiOR ,drENCmHaY",24
"BGvThPWQHFEwzENxRP,DIxVjRYSJHGybGPzTR,2",16
"rGWKu,pEUIs,24",2
JpjKTVgLA PAkOnlDo,18
"fBdFnaS kSwfzwtp,jFhJreW oWajdaxt,4",23
"HlzzZXkEjeXqlQpause,AessSQdXcxQje",19
"QVdGPgZVz,MRzCLcVRv,22",12
"izKuhf,pgRbom,7",16
gBTuClQVXDvRT,4
UbTSrwU ymcDK,9
"vsLwcHqNnmroNGkRRPu,qnGrxClIihmjIBf",6
"oubvY D,cipjM R",4
"WUBOEWePlRqYGZn, RPWJZRzKgMlTBUi,21",22
"imiOyAX,cgcI",16
"VwFZVBl mObStPd,",24
"JgxhCkGmIdctSt, Kh",14
"lmHMOoBWHUnT,jkFKMmZUFSlR,24",6
"NTvsNsm,XDfcXcw,10",17
"mjeiPQSbsDSKZ,fcxbIJLulWLDS,19",19
"xgnsSZAzdZve,bkrwWDEdhDzi,4",7
"HGWiLdTI,PO",14
"xWEducn,hGOnemx,10",14
"SGPKHuJmOB,BPYTQdSvXK,9",22
"PeWKFltRTVXTcQhbbWe,ShZNIowUWYAW",1
"lbrDeFSyuhCeNDyV,wmcOpQDjfsNpYOjG,11",14
eWwnvZv IikYzHwemJ,8
"oQqAOuKmNVSGcU,yAaKYeUwXFCQ",19
"ZvgRovS JtjMsXdw,Uqb",1
"YTRze IqdAAhicPok,OJHpu YgtQQxysFea",20
"rlZCOgzAdXBN,xrFIUm",16
"LuRDkQwSSpCuAPEqRKd,",19
"XgfiEZEaUZtjuenwN,KtsvRMRnHMgwhrajA,13",18
"GJdomWChKBLBtqssIBd,LOitrBHmPGQGyvxxNGi,",9
"bNzvjWsCs, pBnjxKgQg,1",22
"vdHdEYpC,pxBxYSjW,20",21
"kyZaU,vjKlF,11",12
"ywNhWOOHZmHBjufe,usJdSKKDViDXfqba",3
"cHInRsd ZDoJu,sXYdHit P",23
"pEKYfHYbqXxjlQ,u",13
"aCsbWhzRAwFyDrc,fHxgBmeWFbKdIwh,5",4
"suAaBJJ,lnTtUCC,19",16
"OvEIGrsBtiIEteKzNz,YfOSQbcLdsSOdoUjXj,10",20
"FxTKjWJAjHPCvouo,EwSJiVIZiGOBuntn,25",5
"kTpfsCzFHOpJnND,dMiylVsYAHiCgGW,19",9
"qYsIGjni,iQkAYbfa,18",25
"aBjpA,mNvbM,",17
"gMHhAceHbzQ,wCXxQsuXrpG",21
"yCLTinGOCV DTtVZfC,lPYGvaTBPI QGgIMsP,13",22
"MyyWEENkjnFbz,IuuSAAJgfj",14
"bRjZZ YaWHvX,iYqGG ",1
"HkmzolnwUf,RuwjyvxgEp,10",21
"jYDnwn,eTYiri,21",23
OxPBVmzurNevDPMPPex,25
"HGRotadGkEdQNTP,VUFchorUySrEBHD,14",7
"TKnAjUxdADDlk vCLTd,DUxKtEh",19
"mpZRQkdkm d,n",1
"aebrCEzLunCleXHHjtsL,hliyJLgSbuJslEOOqazS,",25
"jDvRWofMuQ,hBtPUmdKsO,",23
"Zh wqaTJsdzXIWYhzfe,Qy nhrKAj",22
jEQeskdJWL,3
"ndxpCqDE,qgasFtGH,3",6
"vpmygtnyGPjCoWAWy,iczl",21
"XSF BPuzBb,VQD ZNsxZz,24",24
"NDqIXIFmHRRoT oL,VLyQFQNuPZZwB w",18
"khaZYbFHPi,oleDCfJLTm,4",9
"Gy jTyGm,Ew hRwEk,24",7
"TRyhwv,ECjshg,11",20
"nHuihyyjXkhFNfJI,o",23
"XQoEZDykrhxkAj,",10
"ZHyeFeNoEdDKT YBgyy,VDuaBaJkAzZGP UXcuu,22",10
"xHBfqMmGfC,fPJnyU",17
mvFwsLuXTLzPX,12
"VNduivYaUmlmMjU,TLbsgtWySkjkKhS,24",21
"EgzJQwzLcxjsj,JleOVbeQhcoxo,5",19
"ouzkAInVsKalEwwqYYNa,zfkvLTyGdVlwPhhbJJY",24
"lebky m,unkth v,9",16
"LKYbFhwpFc,EDR",23
"gdiqztAtLibYQNQXol,ebgoxrYrJgz",25
"UNIkINm,CVQsQVu,8",19
SdoDyPATjHKDy,15
"GeMEsm,LjRJxr,5",25
"yVRxinhtEuhY,q",15
gVOtFqbNMH ,17
"C tQbXaGg,D uRcYbHh,1",20
"jSuZnCi,kTvAoDj,1",2
"rAuFMDYMFvExRvctQ,hQkVCTOCVlUnHlsjG,16",22
"LvVZiYcX,OyYClBfA,3",9
"DCmUkHe Zd,JIsAqNk Fj,",9
"kHzVXqGXK,xUmIKdTKX,13",10
"vBWcxuOv,kQLrmj",18
"PwLqyJDq,ElAfnYS",19
"rPslXDrDCcAc,nLohTZnZYyWy,",14
"CydmndkVbGrq f DKsX,Yuzij",25
"WDTBLWeBaRPB,GNDLVGoLkBZL,10",7
"xPVwnsNMAZA,kCIjafAZNMN,13",5
"xivgr MeCIBFSqJ gRP,mxkv",19
"RvVkECVTJuL,BfFuOMFDTeV,10",16
"qvjzmAH,jocsfTA,19",24
"ezobSkvsmn,kfuhYqbyst,6",3
"ntLdYfPkqyaGjEYzL,lrJbWdNiowyEhCWxJ,24",23
"VQHcRnnWwZHNJnPgCNmb,CXOjY",20
"wtPSdOtYVGclDidcFu,mjFItEjOLWs",18
"PgZgz,BsLsl,12",20
"sbSHHzLTHoMWgLP,qzQFFxJRFmKUeJN",10
"jvNZ cfn,qcUG jmu,7",4
"G cybaoAXtJ,R njmlzLIeU,",14
SnmuuLLKMu,16
"PBsQKIUMhasdX,JVmKECOGbumxR,20",6
"E LgZhKY  SeP,R YtMuXL  F",1
CyTRqAYppVsqsJN,14
"GkVOWlwyAYmq,EiTMUjuwYWko",14
"JvZwADXKrHLB,CoSpTWQDkAEU,19",14
"hnhPzb,zfzHrt,18",13
"feMpUHWrxOtMFaMaEI, baIlQDSntKpIBwIwAE,22",1
"uQodhEno,kGetxU",20
"vYixNOPzCZ,bEodTUVfIF,6",11
qpJeAOrLjj,20
"STOMmrgh,JKFDdixy,17",1
"Vljms,Fvtwc,10",1
"dxpLkVfJfKjDmO,yskGfQaEaFeYhJ,",11
"DsEQaeDYlC,ZoAMwaZUhY,2",4
"SCUvVvTaKq,",18
"hx YCFMenbFcsnfZAE,",23
"zJosJcGDk,xHmqHaEBi,24",8
"lGDzVM,sNKgCT,7",13
"ubKsYBPksuNg,biRzFIWrzbUn,7",4
"UxPzhBAldtTcTL,QtLvdXWhzpPyPH,",12
"DHLwTwFXwZfNNF,BFJuRuDVuXdLLD,24",2
"pSrFUflwmmhxAoBCkZ,fIhVKvbm",19
